animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A789482,Mclaren,26-02-2019 16:21,2019-02-26T16:21:00.000,2018-12-18T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Boxer/Australian Cattle Dog,Brown Brindle/White,
A661916,Bella,02-04-2014 17:42,2014-04-02T17:42:00.000,2011-08-27T00:00:00.000,Euthanasia,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown,Aggressive
A801634,Simba,15-10-2019 18:21,2019-10-15T18:21:00.000,2019-04-06T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,White/Brown Tabby,
A783891,Elizabeth T,16-01-2019 11:28,2019-01-16T11:28:00.000,2015-11-08T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Border Terrier,Black/Tan,Foster
A771760,,12-05-2018 19:32,2018-05-12T19:32:00.000,2017-05-09T00:00:00.000,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,Snr
A747746,Hops,28-05-2017 17:44,2017-05-28T17:44:00.000,2016-04-24T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,
A842461,Ruby,27-10-2021 09:50,2021-10-27T09:50:00.000,2021-08-05T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Foster
A681272,Chucky,17-06-2014 13:29,2014-06-17T13:29:00.000,2011-06-14T00:00:00.000,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown,Partner
A711258,Cash,03-11-2015 19:38,2015-11-03T19:38:00.000,2012-09-04T00:00:00.000,Adoption,Dog,Neutered Male,3 years,Boxer Mix,White/Brown Brindle,
A697903,,04-03-2015 09:00,2015-03-04T09:00:00.000,2014-11-18T00:00:00.000,Transfer,Cat,Unknown,3 months,Siamese Mix,Lynx Point,SCRP
A689065,,29-09-2014 13:08,2014-09-29T13:08:00.000,2014-08-09T00:00:00.000,Transfer,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Buff,Partner
A676139,Iona,08-03-2017 07:51,2017-03-08T07:51:00.000,2008-04-09T00:00:00.000,Adoption,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White,Foster
A676256,Maxey,07-04-2014 18:49,2014-04-07T18:49:00.000,1999-04-07T00:00:00.000,Return to Owner,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Torbie,
A667657,Rye,01-12-2013 13:10,2013-12-01T13:10:00.000,2006-11-20T00:00:00.000,Adoption,Dog,Neutered Male,7 years,Mastiff Mix,Brown Brindle/White,
A798215,,24-06-2019 18:06,2019-06-24T18:06:00.000,2017-06-23T00:00:00.000,Euthanasia,Other,Unknown,2 years,Raccoon,Brown/Black,Rabies Risk
A595061,Gypsy,18-08-2022 18:07,2022-08-18T18:07:00.000,2010-10-01T00:00:00.000,Return to Owner,Dog,Spayed Female,11 years,Labrador Retriever Mix,Red/White,
A774385,,30-06-2018 16:45,2018-06-30T16:45:00.000,2018-04-07T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,
A771075,,23-06-2018 20:16,2018-06-23T20:16:00.000,2018-04-15T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,Foster
A679944,,01-06-2014 17:40,2014-06-01T17:40:00.000,2012-05-28T00:00:00.000,Transfer,Dog,Spayed Female,2 years,Cairn Terrier Mix,White/Buff,Partner
A698183,Eleanor,12-03-2015 16:13,2015-03-12T16:13:00.000,2013-03-06T00:00:00.000,Euthanasia,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle,Suffering
A726827,Sweet Pea,29-05-2017 17:07,2017-05-29T17:07:00.000,2016-04-15T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,
A662741,Todd,05-10-2013 12:42,2013-10-05T12:42:00.000,2013-08-11T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,Partner
A796941,Carrot,03-08-2019 14:40,2019-08-03T14:40:00.000,2019-04-27T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby,Foster
A718387,Jack Frost,16-01-2016 16:12,2016-01-16T16:12:00.000,2006-12-29T00:00:00.000,Adoption,Dog,Neutered Male,9 years,American Eskimo Mix,Cream,
A837504,,27-06-2021 14:11,2021-06-27T14:11:00.000,2021-05-14T00:00:00.000,Transfer,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/Tricolor,Partner
A737776,,08-11-2016 18:16,2016-11-08T18:16:00.000,2016-01-04T00:00:00.000,Adoption,Dog,Spayed Female,10 months,Yorkshire Terrier Mix,Black/Brown,
A767108,Dotty,06-05-2018 19:36,2018-05-06T19:36:00.000,2015-02-23T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Boston Terrier Mix,White/Blue,
A792484,Taros,31-05-2020 13:00,2020-05-31T13:00:00.000,2018-04-11T00:00:00.000,Adoption,Dog,Neutered Male,2 years,German Shepherd Mix,Cream,
A731104,Zakarin,20-09-2016 11:28,2016-09-20T11:28:00.000,2016-04-20T00:00:00.000,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,Foster
A842306,Lemondrop,24-09-2021 18:37,2021-09-24T18:37:00.000,2020-09-13T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Vizsla Mix,Red/White,
A784970,Ziggy,16-03-2019 11:31,2019-03-16T11:31:00.000,2018-05-24T00:00:00.000,Return to Owner,Dog,Neutered Male,9 months,Pit Bull Mix,White/Black,
A771103,,23-06-2018 17:45,2018-06-23T17:45:00.000,2018-03-16T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue,Foster
A777152,,24-07-2018 00:00,2018-07-24T00:00:00.000,2018-07-20T00:00:00.000,Transfer,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby,Partner
A882677,Tres,13-06-2023 14:28,2023-06-13T14:28:00.000,2023-05-08T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,Black,Partner
A687949,Apollo,10-10-2014 17:53,2014-10-10T17:53:00.000,2012-09-12T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Australian Kelpie Mix,Black/Tan,
A833864,,12-05-2021 16:48,2021-05-12T16:48:00.000,2021-05-04T00:00:00.000,Euthanasia,Cat,Intact Male,1 weeks,Domestic Shorthair,Orange Tabby/White,Suffering
A706245,,26-06-2015 17:12,2015-06-26T17:12:00.000,2015-06-11T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,Partner
A713109,,04-10-2015 09:22,2015-10-04T09:22:00.000,2013-10-02T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat Mix,Brown,Rabies Risk
A718705,Thor,12-01-2016 19:00,2016-01-12T19:00:00.000,2014-01-05T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/White,
A685791,Chispa,13-08-2014 18:41,2014-08-13T18:41:00.000,2013-02-12T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,White/Tan,
A803510,Rocky,03-09-2019 11:56,2019-09-03T11:56:00.000,2018-03-02T00:00:00.000,Transfer,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Black/Tan,Partner
A732051,Cinnamon,08-08-2016 15:12,2016-08-08T15:12:00.000,2016-06-24T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,Partner
A743602,Dodger,14-02-2017 14:46,2017-02-14T14:46:00.000,2016-05-01T00:00:00.000,Transfer,Other,Intact Male,9 months,Guinea Pig Mix,Tricolor,Partner
A744629,Hazel,15-03-2017 11:49,2017-03-15T11:49:00.000,2012-03-04T00:00:00.000,Adoption,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue/White,
A776224,Taylor,12-07-2018 19:02,2018-07-12T19:02:00.000,2011-09-26T00:00:00.000,Transfer,Dog,Spayed Female,6 years,Shiba Inu Mix,Tan,Partner
A788493,,07-02-2019 13:12,2019-02-07T13:12:00.000,2018-04-03T00:00:00.000,Transfer,Dog,Neutered Male,10 months,Standard Poodle/Labrador Retriever,Cream,Partner
A754938,Ivory,29-07-2017 15:24,2017-07-29T15:24:00.000,2016-06-06T00:00:00.000,Return to Owner,Dog,Intact Female,1 year,Australian Cattle Dog/German Shepherd,Black/Brown,
A839879,Winnie,09-09-2021 11:55,2021-09-09T11:55:00.000,2020-08-05T00:00:00.000,Transfer,Dog,Spayed Female,1 year,Labrador Retriever/Beagle,Black/White,Out State
A719479,Snake Finder,13-08-2017 13:55,2017-08-13T13:55:00.000,2015-01-21T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,Miniature Pinscher,Black/Tan,
A720562,Joni,21-02-2016 12:39,2016-02-21T12:39:00.000,2012-02-11T00:00:00.000,Adoption,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie,
A718919,,09-01-2016 14:55,2016-01-09T14:55:00.000,2015-01-09T00:00:00.000,Transfer,Other,Unknown,1 year,Rabbit Sh Mix,Black/White,Partner
A766116,Max,13-02-2018 11:14,2018-02-13T11:14:00.000,2015-02-02T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Rottweiler/Staffordshire,Blue/Tan,
A882679,Uno,13-06-2023 14:27,2023-06-13T14:27:00.000,2023-05-08T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,Partner
A667908,,25-11-2013 11:56,2013-11-25T11:56:00.000,2013-02-24T00:00:00.000,Transfer,Dog,Intact Female,9 months,Pit Bull Mix,White,Partner
A721171,Louie,25-02-2016 15:51,2016-02-25T15:51:00.000,2015-12-07T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Dachshund Mix,Red/White,
A819694,Zoey,12-07-2020 13:42,2020-07-12T13:42:00.000,2020-03-12T00:00:00.000,Transfer,Dog,Intact Female,4 months,Yorkshire Terrier Mix,Black/White,Partner
A605223,Coconut,05-07-2014 18:49,2014-07-05T18:49:00.000,2010-09-05T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White,
A761895,,18-11-2017 14:25,2017-11-18T14:25:00.000,2017-09-03T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby,
A848454,Olli,07-01-2022 13:02,2022-01-07T13:02:00.000,2014-04-20T00:00:00.000,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Orange Tabby,
A729037,Blanco,01-07-2016 18:44,2016-07-01T18:44:00.000,2016-04-12T00:00:00.000,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,
A832174,Monster,16-04-2021 16:11,2021-04-16T16:11:00.000,2013-04-09T00:00:00.000,Adoption,Dog,Spayed Female,8 years,Pit Bull,Blue,
A797068,Chumley,15-06-2019 17:25,2019-06-15T17:25:00.000,2017-06-08T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,
A731908,Shorty,04-09-2016 17:33,2016-09-04T17:33:00.000,2015-07-29T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Staffordshire/Basset Hound,Brown Brindle/White,
A705501,Chato,27-06-2015 13:19,2015-06-27T13:19:00.000,2015-03-12T00:00:00.000,Return to Owner,Dog,Intact Male,3 months,Boxer,Black Brindle/White,
A684628,Cody,01-08-2014 18:05,2014-08-01T18:05:00.000,2013-07-26T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Akita Mix,Sable,
A788671,Lulu,06-07-2019 18:12,2019-07-06T18:12:00.000,2017-10-06T00:00:00.000,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Red,
A740771,Edmund,24-12-2016 15:52,2016-12-24T15:52:00.000,2015-12-22T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow,
A773488,O'Malley,25-07-2018 06:31,2018-07-25T06:31:00.000,2018-04-29T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Foster
A692406,Remington,01-12-2014 16:02,2014-12-01T16:02:00.000,2013-11-19T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle,
A876884,Texas,13-06-2023 14:31,2023-06-13T14:31:00.000,2021-03-21T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Plott Hound Mix,Black Brindle/Black,
A697608,Effie,27-02-2015 18:10,2015-02-27T18:10:00.000,2014-11-26T00:00:00.000,Adoption,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/White,
A753292,Chaco,05-07-2017 15:19,2017-07-05T15:19:00.000,2001-07-04T00:00:00.000,Adoption,Cat,Neutered Male,16 years,Persian,White/Brown Tabby,
A732325,Tobi,19-08-2016 18:01,2016-08-19T18:01:00.000,2015-02-06T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Chocolate/Black,
A836935,Aries,19-06-2021 16:08,2021-06-19T16:08:00.000,2020-06-15T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Siberian Husky Mix,Black/Tan,
A720727,Rooster 11,08-03-2016 13:47,2016-03-08T13:47:00.000,2015-02-14T00:00:00.000,Adoption,Bird,Intact Male,1 year,Chicken Mix,Black/Red,
A753146,Susan,05-08-2017 17:40,2017-08-05T17:40:00.000,2017-06-02T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,
A716395,Jenny,28-11-2015 17:27,2015-11-28T17:27:00.000,2013-11-19T00:00:00.000,Transfer,Dog,Intact Female,2 years,Pit Bull Mix,Fawn/White,Partner
A664661,Lily,13-10-2013 17:04,2013-10-13T17:04:00.000,2013-08-07T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,
A705337,Haylie,15-08-2017 12:43,2017-08-15T12:43:00.000,2013-06-16T00:00:00.000,Adoption,Dog,Spayed Female,4 years,Pit Bull Mix,Tan/White,Foster
A791446,Leopold,31-03-2019 13:58,2019-03-31T13:58:00.000,2016-03-28T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,English Bulldog,White/Brown,
A738706,,20-11-2016 09:00,2016-11-20T09:00:00.000,2014-11-19T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Orange Tabby,SCRP
A728903,Izzy,21-05-2017 15:18,2017-05-21T15:18:00.000,2015-06-10T00:00:00.000,Adoption,Dog,Spayed Female,1 year,American Bulldog Mix,Black/White,
A832041,Tiny,17-04-2021 12:33,2021-04-17T12:33:00.000,2019-04-06T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,Offsite
A790939,,19-03-2019 13:34,2019-03-19T13:34:00.000,2019-03-18T00:00:00.000,Transfer,Cat,Unknown,1 day,Domestic Shorthair Mix,Black,Partner
A790255,Pantera,12-03-2019 17:37,2019-03-12T17:37:00.000,2017-03-07T00:00:00.000,Rto-Adopt,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Black,
A798379,,13-07-2019 12:36,2019-07-13T12:36:00.000,2018-06-25T00:00:00.000,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair/Rat Terrier,Tricolor,Partner
A690186,Keylow,08-10-2015 17:06,2015-10-08T17:06:00.000,2014-02-15T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Miniature Poodle Mix,White,
A754460,,25-07-2017 12:06,2017-07-25T12:06:00.000,2017-04-21T00:00:00.000,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black,Snr
A760255,Deuce,23-10-2017 15:38,2017-10-23T15:38:00.000,2016-10-15T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Brown/Black,
A695222,Bochy,15-01-2015 18:19,2015-01-15T18:19:00.000,2013-01-11T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Flat Coat Retriever Mix,Black/White,
A842803,Charlie,23-09-2021 18:10,2021-09-23T18:10:00.000,2021-07-21T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Pit Bull,Tan,
A752298,Maddie,15-08-2017 14:13,2017-08-15T14:13:00.000,2009-06-20T00:00:00.000,Adoption,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Torbie,
A664356,Azul,03-10-2013 16:37,2013-10-03T16:37:00.000,2013-03-03T00:00:00.000,Transfer,Dog,Intact Male,7 months,Pit Bull Mix,Blue/White,Partner
A817406,Janice,27-05-2020 12:06,2020-05-27T12:06:00.000,2016-05-15T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Labrador Retriever/Pit Bull,Tan/White,
A736221,,07-10-2016 09:42,2016-10-07T09:42:00.000,2014-10-07T00:00:00.000,Euthanasia,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,Suffering
A702402,Tic,08-07-2015 08:55,2015-07-08T08:55:00.000,2015-04-06T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,Foster
A789594,Morena,26-02-2019 19:33,2019-02-26T19:33:00.000,2015-02-24T00:00:00.000,Adoption,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Brown/Black,
A711356,J.D.,11-09-2015 13:50,2015-09-11T13:50:00.000,2009-09-05T00:00:00.000,Transfer,Dog,Neutered Male,6 years,Labrador Retriever Mix,Chocolate,Partner
A729769,Gracie,03-07-2016 13:52,2016-07-03T13:52:00.000,2015-06-23T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico,
A882678,Dos,13-06-2023 14:28,2023-06-13T14:28:00.000,2023-05-08T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,Black,Partner
A671609,Wilson,02-07-2015 11:04,2015-07-02T11:04:00.000,2013-01-28T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Labrador Retriever,Tan/White,Partner
A671789,Sam,03-02-2014 16:48,2014-02-03T16:48:00.000,2012-01-30T00:00:00.000,Adoption,Dog,Intact Male,2 years,Miniature Poodle/Miniature Schnauzer,Buff,
A730774,Noodles,16-07-2016 19:03,2016-07-16T19:03:00.000,2016-01-10T00:00:00.000,Adoption,Dog,Neutered Male,6 months,Jack Russell Terrier Mix,Black,
A748210,,04-05-2017 12:47,2017-05-04T12:47:00.000,2016-04-30T00:00:00.000,Rto-Adopt,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor,
A825041,,27-10-2020 09:48,2020-10-27T09:48:00.000,2019-10-26T00:00:00.000,Disposal,Other,Unknown,1 year,Bat,Brown,
A566568,Duck,23-02-2019 11:33,2019-02-23T11:33:00.000,2009-02-12T00:00:00.000,Adoption,Dog,Neutered Male,10 years,Harrier Mix,Brown/Black,
A767611,Queen,17-03-2018 13:16,2018-03-17T13:16:00.000,2016-09-04T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/Brown Brindle,
A711270,,22-10-2015 09:00,2015-10-22T09:00:00.000,2014-09-04T00:00:00.000,Transfer,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White,SCRP
A669647,Theodore,03-01-2014 14:36,2014-01-03T14:36:00.000,2012-12-24T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Australian Cattle Dog/Labrador Retriever,Tan/White,
A827274,Fizzle,30-12-2020 15:24,2020-12-30T15:24:00.000,2020-09-02T00:00:00.000,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby,Partner
A799811,Angel,22-10-2019 08:21,2019-10-22T08:21:00.000,2012-07-12T00:00:00.000,Adoption,Dog,Spayed Female,7 years,Chihuahua Shorthair,Cream,Foster
A725432,Clark,06-09-2017 17:08,2017-09-06T17:08:00.000,2011-04-29T00:00:00.000,Return to Owner,Dog,Neutered Male,6 years,Staffordshire/Boxer,Black/White,
A712266,,20-09-2015 07:57,2015-09-20T07:57:00.000,2015-08-20T00:00:00.000,Died,Other,Unknown,4 weeks,Bat,Brown/Black,In Kennel
A687011,Gigi,04-09-2014 17:58,2014-09-04T17:58:00.000,2013-12-30T00:00:00.000,Adoption,Dog,Spayed Female,8 months,Boston Terrier Mix,Black/White,
A826220,,22-11-2020 15:20,2020-11-22T15:20:00.000,2020-10-29T00:00:00.000,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby,Partner
A742748,Elsie,23-06-2018 20:45,2018-06-23T20:45:00.000,2007-01-27T00:00:00.000,Adoption,Cat,Spayed Female,11 years,Domestic Shorthair Mix,White/Black,Foster
A671765,Negra,06-07-2014 15:58,2014-07-06T15:58:00.000,2013-01-30T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Dachshund Wirehair Mix,Black/White,
A774643,Molly,22-06-2018 12:27,2018-06-22T12:27:00.000,2018-02-03T00:00:00.000,Transfer,Dog,Intact Female,4 months,Miniature Schnauzer Mix,Brown,Partner
A718679,Sam,24-01-2016 18:03,2016-01-24T18:03:00.000,2015-01-04T00:00:00.000,Adoption,Dog,Neutered Male,1 year,American Foxhound Mix,White/Black,
A746806,Palmer,13-04-2017 17:12,2017-04-13T17:12:00.000,2016-04-09T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Anatol Shepherd,Tan,
A886663,Twinkle,19-08-2023 15:17,2023-08-19T15:17:00.000,2023-04-09T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Brown Tabby/White,
A793783,Spinner,13-07-2019 14:54,2019-07-13T14:54:00.000,2019-04-20T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,Foster
A810108,,09-12-2019 17:29,2019-12-09T17:29:00.000,2019-09-23T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever,Tricolor,
A692379,Maunster,20-12-2014 17:23,2014-12-20T17:23:00.000,2014-10-19T00:00:00.000,Adoption,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Tan,Foster
A799586,,14-07-2019 17:27,2019-07-14T17:27:00.000,2017-07-10T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Cream Tabby/White,Snr
A779909,,11-09-2018 18:06,2018-09-11T18:06:00.000,2016-09-06T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,Snr
A706720,Nikko,24-07-2015 17:19,2015-07-24T17:19:00.000,2011-07-02T00:00:00.000,Adoption,Dog,Neutered Male,4 years,Miniature Schnauzer Mix,Tan/Gray,
A823496,Rigatoni,03-11-2020 09:15,2020-11-03T09:15:00.000,2020-08-17T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White,Foster
A678591,Parker,14-05-2014 19:06,2014-05-14T19:06:00.000,2014-03-02T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Cardigan Welsh Corgi Mix,Tricolor,
A735888,Coco,01-10-2016 17:26,2016-10-01T17:26:00.000,2014-10-01T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/Brown,
A669875,Daisy,30-12-2013 14:06,2013-12-30T14:06:00.000,2008-12-29T00:00:00.000,Return to Owner,Dog,Spayed Female,5 years,Lhasa Apso Mix,Black,
A888896,Tofu,16-09-2023 11:59,2023-09-16T11:59:00.000,2016-09-16T00:00:00.000,Return to Owner,Dog,Spayed Female,7 years,Silky Terrier,Tan/Black,
A820871,,31-07-2020 11:36,2020-07-31T11:36:00.000,2020-05-31T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,Partner
A803732,Ginny,14-09-2019 12:03,2019-09-14T12:03:00.000,2019-05-11T00:00:00.000,Adoption,Dog,Spayed Female,4 months,Boxer,Brown/White,
A698165,,07-03-2015 09:45,2015-03-07T09:45:00.000,2015-02-06T00:00:00.000,Died,Other,Unknown,4 weeks,Bat,Brown/Black,
A635766,Shadow,07-01-2014 11:19,2014-01-07T11:19:00.000,2012-06-27T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Pit Bull/Boxer,Chocolate/White,
A772493,Molly,21-05-2018 19:18,2018-05-21T19:18:00.000,2016-05-20T00:00:00.000,Return to Owner,Dog,Spayed Female,2 years,German Shepherd Mix,Tan/Black,
A736505,Tommy,20-11-2016 17:44,2016-11-20T17:44:00.000,2016-09-19T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,Foster
A819006,Little Girl,11-08-2020 17:05,2020-08-11T17:05:00.000,2018-03-19T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Longhair,White,
A754796,Guppy,30-09-2017 09:51,2017-09-30T09:51:00.000,2017-06-30T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,Foster
A717893,Rasgo,18-12-2015 18:13,2015-12-18T18:13:00.000,2015-08-18T00:00:00.000,Adoption,Dog,Neutered Male,4 months,Havanese Mix,Apricot,
A810461,Chance,23-12-2019 18:25,2019-12-23T18:25:00.000,2017-12-14T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Pit Bull,Black,
A714226,Lars,26-10-2015 00:00,2015-10-26T00:00:00.000,2008-10-24T00:00:00.000,Transfer,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Black/Brown,Partner
A888762,Peach,16-09-2023 12:33,2023-09-16T12:33:00.000,2023-03-10T00:00:00.000,Return to Owner,Cat,Neutered Male,6 months,Domestic Shorthair,Orange Tabby,
A787336,Genevieve,25-03-2019 18:19,2019-03-25T18:19:00.000,2017-01-11T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,Foster
A688756,,27-09-2014 17:08,2014-09-27T17:08:00.000,2014-07-08T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby,
A816306,Jelly Bean,17-06-2020 13:23,2020-06-17T13:23:00.000,2020-04-12T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black,Foster
A787658,Fergus,11-03-2019 00:00,2019-03-11T00:00:00.000,2017-01-17T00:00:00.000,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,Partner
A674631,Claude,19-04-2014 17:33,2014-04-19T17:33:00.000,2011-03-16T00:00:00.000,Adoption,Dog,Neutered Male,3 years,American Bulldog Mix,White/Tan,
A800445,Mini,22-07-2019 18:47,2019-07-22T18:47:00.000,2013-06-05T00:00:00.000,Return to Owner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan/White,
A684828,,30-07-2014 09:00,2014-07-30T09:00:00.000,2014-03-14T00:00:00.000,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Cream Tabby/White,SCRP
A749133,Cowboy,01-08-2020 08:12,2020-08-01T08:12:00.000,2017-04-05T00:00:00.000,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,White/Black,Foster
A686043,,16-08-2014 08:41,2014-08-16T08:41:00.000,2013-08-15T00:00:00.000,Disposal,Other,Unknown,1 year,Bat Mix,Brown,
A692765,,02-12-2014 17:31,2014-12-02T17:31:00.000,2014-09-25T00:00:00.000,Euthanasia,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Suffering
A774672,,15-07-2018 16:43,2018-07-15T16:43:00.000,2018-04-25T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,
